customer_id,age,gender,region,plan,tenure_months,monthly_charges,total_charges,logins_last_30d,features_used,support_tickets,nps_score,last_login_days_ago,email_open_rate,contract_type,payment_method,payment_failures,churn_probability,churned
CUS00001,62,Male,North,Standard,32,52.09,1714.28,5,10,6,,3,0.09,Month-to-month,Credit card,4,0.8495,1
CUS00002,56,Female,South,Standard,36,30.19,1075.57,21,5,2,2,43,0.1,Two year,Credit card,2,0.4112,0
CUS00003,44,Non-binary,East,Basic,59,23.04,1305.54,53,11,5,8,24,0.7,Month-to-month,Bank transfer,2,0.4427,0
CUS00004,28,Female,East,Standard,47,40.66,1892.61,43,11,1,8,81,0.17,Month-to-month,Bank transfer,3,0.493,0
CUS00005,46,Female,Central,Basic,42,27.64,994.2,20,7,4,0,27,0.91,One year,Bank transfer,3,0.1351,0
CUS00006,51,Male,East,Basic,32,26.17,783.58,37,7,5,2,17,0.51,Month-to-month,Credit card,0,0.6569,1
CUS00007,31,Non-binary,South,Standard,9,47.88,387.95,35,14,0,9,14,0.68,One year,PayPal,0,0.1822,0
CUS00008,22,Non-binary,East,Premium,23,97.52,2284.08,32,10,3,1,47,0.76,Month-to-month,PayPal,3,0.8609,1
CUS00009,23,Male,East,Standard,31,56.34,1514.48,31,14,1,7,16,0.13,Two year,Bank transfer,2,0.1085,0
CUS00010,35,Non-binary,South,Standard,52,49.5,2454.35,7,4,3,0,43,0.02,Month-to-month,Bank transfer,0,0.6574,1
CUS00011,26,Non-binary,North,Basic,9,28.58,230.88,42,8,3,7,16,0.72,Two year,Bank transfer,3,0.3288,0
CUS00012,28,Non-binary,West,Standard,55,55.92,3016.21,41,2,0,5,43,0.8,Month-to-month,Bank transfer,1,0.4048,0
CUS00013,34,Non-binary,West,Basic,55,17.75,844.53,51,14,8,0,6,0.65,Month-to-month,Credit card,1,0.2305,0
CUS00014,35,Female,North,Basic,49,15.03,741.64,18,7,8,9,62,0.15,One year,Bank transfer,0,0.3056,0
CUS00015,59,Non-binary,Central,Basic,41,15.86,663.62,10,1,8,0,23,0.07,Month-to-month,Bank transfer,3,0.8812,1
CUS00016,37,Non-binary,Central,Basic,11,21.29,242.84,13,11,5,2,33,0.4,One year,Check,2,0.6236,1
CUS00017,26,Male,West,Premium,13,75.91,1023.0,56,2,3,4,36,0.16,One year,Credit card,4,0.3107,0
CUS00018,30,Female,North,Basic,71,17.33,1130.24,43,11,4,7,62,0.25,Month-to-month,Credit card,3,0.4524,0
CUS00019,39,Male,North,Standard,17,37.86,618.09,27,9,0,0,9,0.95,Month-to-month,Credit card,2,0.5821,1
CUS00020,30,Male,East,Standard,6,36.3,189.61,49,9,6,8,19,0.93,Month-to-month,Bank transfer,1,0.566,1
CUS00021,48,Male,South,Standard,53,55.92,2677.35,50,12,1,5,4,0.86,Month-to-month,Bank transfer,3,0.2003,0
CUS00022,36,Male,North,Basic,52,19.92,938.29,41,9,6,9,68,0.33,Month-to-month,Credit card,2,0.6523,1
CUS00023,33,Non-binary,East,Basic,14,23.95,314.27,32,2,6,8,24,0.25,Two year,Credit card,4,0.6068,1
CUS00024,64,Male,East,Standard,9,57.62,509.6,7,12,4,7,39,0.67,One year,Check,2,0.5355,1
CUS00025,57,Male,South,Standard,49,57.08,2545.73,35,14,0,3,36,0.21,One year,Check,3,0.1098,0
CUS00026,52,Non-binary,South,Basic,37,22.73,852.52,48,4,4,2,25,0.15,Month-to-month,Bank transfer,3,0.5468,1
CUS00027,61,Male,West,Standard,25,41.52,912.94,44,1,1,5,28,0.18,Two year,Credit card,4,0.2964,0
CUS00028,51,Male,West,Premium,72,113.49,7946.82,46,15,8,5,70,0.45,Month-to-month,Check,3,0.7542,1
CUS00029,38,Male,East,Premium,63,64.65,3694.76,17,6,5,7,10,0.14,Month-to-month,Check,1,0.424,0
CUS00030,48,Female,Central,Standard,54,54.99,2981.22,60,12,0,8,48,0.48,One year,PayPal,3,0.065,0
